vdbgemmaasgouw:laagspanning_ma	OGC:WFS	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wfs?SERVICE=WFS&REQUEST=GetCapabilities	bca73df3-7769-4b18-a1d5-710dfaed77af	503	Service Unavailable
vdbgemmaasgouw:laagspanning_ma	OGC:WMS-1.1.1-http-get-map	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wms?SERVICE=WMS&REQUEST=GetCapabilities	33ef0c7a-9922-45f7-9cea-40d05198adef	503	Service Unavailable
vdbgemmaasgouw:laagspanning_ma	OGC:WMS-1.1.1-http-get-map	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wms?SERVICE=WMS&REQUEST=GetCapabilities	8fbf7a4c-562f-4a8f-8ac5-e3b0c2abd89a	503	Service Unavailable
PGR:RECR_Snelvaren	OGC:WFS	http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities	0418f5dc-1c57-4d1e-856c-58a4c3fbd754	 port=80): Read timed out. (read timeout=3)""	))"
PGR:LANDSCHAP_Landschapstypen	OGC:WFS	http://geoportaal.fryslan.nl/arcgis/services/ProvinciaalGeoRegister/PGR_features/GeoDataServer/WFSServer?SERVICE=WFS&REQUEST=GetCapabilities	57e73164-dc22-48a3-a703-13431fcfb748	 port=80): Read timed out. (read timeout=3)""	))"
-	dataset	http://Server=b_geomagazijn; Service=sde:oracle11g:b_geomagazijn; User=geo; Version=SDE.DEFAULT	743d68c9-1c77-40f2-a2d6-1842f8ff3286	0	Failed to parse: Server=b_geomagazijn; Service=sde:oracle11g:b_geomagazijn; User=geo; Version=SDE.DEFAULT
0	OGC:WMS	http://Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=verkeer; Version=SDE.DEFAULT?SERVICE=WMS&REQUEST=GetCapabilities	1ed2a301-e853-430e-8990-83659be7eac0	0	Failed to parse: Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=verkeer; Version=SDE.DEFAULT
omg_verord_bodembescherm_v	OGC:WMS	http://portal.prvlimburg.nl/geoservices/beekdalen_mergelland?SERVICE=WMS&REQUEST=GetCapabilities	cabf89dd-cb84-4797-97ca-757b05ad103c	404	Not Found
omg_verord_bodembescherm_v	OGC:WFS	http://portal.prvlimburg.nl/geoservices/beekdalen_mergelland?SERVICE=WFS&REQUEST=GetCapabilities	446ca758-53cf-4463-b86c-bc1d62991393	404	Not Found
-	dataset	http://Server=b_geomagazijn; Service=sde:oracle11g:b_geomagazijn; User=geo; Version=SDE.DEFAULT	faa3dbcd-f973-49ed-bbe9-2eaf13805b53	0	Failed to parse: Server=b_geomagazijn; Service=sde:oracle11g:b_geomagazijn; User=geo; Version=SDE.DEFAULT
Vaarwegkenmerken in Nederland overige kunstwerken	download	http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/vaarweginformatie_nederland/geogegevens/shape	8b5e7eb5-0e96-444d-b417-e985f6e961c7	404	Not Found
0	OGC:WMS	http://Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=econ_zaken; Version=SDE.DEFAULT?SERVICE=WMS&REQUEST=GetCapabilities	623cc7ae-28bf-484e-ad89-e60504ea5d2d	0	Failed to parse: Server=sde; Service=sde:oracle$sde:oracle11g:geopp; User=econ_zaken; Version=SDE.DEFAULT
vdbgemmaasgouw:rioolonderdruk_ll	OGC:WMS	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wms?SERVICE=WMS&REQUEST=GetCapabilities	024f0f3e-214f-4df0-82ce-805580965a78	503	Service Unavailable
vdbgemmaasgouw:rioolonderdruk_ll	OGC:WFS	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wfs?SERVICE=WFS&REQUEST=GetCapabilities	0ea22da5-b36b-4556-a6ca-99e9ddddbe5b	503	Service Unavailable
vdbgemmaasgouw:rioolonderdruk_ll	OGC:WMS-1.1.1-http-get-map	http://wioninspire.geodan.nl/geoserver/vdbgemmaasgouw/wms?SERVICE=WMS&REQUEST=GetCapabilities	538bc526-2597-4e65-b20e-dd2640204c1a	503	Service Unavailable
